SKU,ds,P10,P30,P50,P70,P90
ACC_CABLE_001,2026-08-29,259,288,308,328,357
ACC_CABLE_001,2026-08-30,238,280,308,336,378
ACC_CABLE_001,2026-08-31,151,202,237,272,322
ACC_CABLE_001,2026-09-01,138,197,237,277,336
ACC_CABLE_001,2026-09-02,126,192,237,282,347
ACC_CABLE_001,2026-09-03,116,188,237,286,358
ACC_CABLE_001,2026-09-04,106,184,237,290,368
ACC_CABLE_001,2026-09-05,168,251,308,365,448
ACC_CABLE_001,2026-09-06,160,248,308,368,456
ACC_CABLE_001,2026-09-07,81,173,237,300,393
ACC_CABLE_001,2026-09-08,73,170,237,303,401
ACC_CABLE_001,2026-09-09,66,167,237,306,408
ACC_CABLE_001,2026-09-10,59,165,237,309,415
ACC_CABLE_001,2026-09-11,52,162,237,312,422
ACC_CABLE_002,2026-08-29,239,266,285,303,331
ACC_CABLE_002,2026-08-30,220,259,285,311,350
ACC_CABLE_002,2026-08-31,140,187,219,251,298
ACC_CABLE_002,2026-09-01,128,182,219,256,311
ACC_CABLE_002,2026-09-02,117,178,219,261,321
ACC_CABLE_002,2026-09-03,107,174,219,265,331
ACC_CABLE_002,2026-09-04,98,170,219,268,340
ACC_CABLE_002,2026-09-05,156,232,285,337,414
ACC_CABLE_002,2026-09-06,148,229,285,341,422
ACC_CABLE_002,2026-09-07,75,160,219,278,364
ACC_CABLE_002,2026-09-08,68,158,219,281,371
ACC_CABLE_002,2026-09-09,61,155,219,283,377
ACC_CABLE_002,2026-09-10,54,152,219,286,384
ACC_CABLE_002,2026-09-11,48,150,219,289,390
ACC_CABLE_003,2026-08-29,467,520,557,593,646
ACC_CABLE_003,2026-08-30,430,505,557,608,683
ACC_CABLE_003,2026-08-31,274,365,428,491,583
ACC_CABLE_003,2026-09-01,250,356,428,501,607
ACC_CABLE_003,2026-09-02,229,347,428,509,628
ACC_CABLE_003,2026-09-03,210,339,428,517,647
ACC_CABLE_003,2026-09-04,192,332,428,524,664
ACC_CABLE_003,2026-09-05,304,454,557,659,809
ACC_CABLE_003,2026-09-06,289,448,557,666,825
ACC_CABLE_003,2026-09-07,146,314,428,543,711
ACC_CABLE_003,2026-09-08,132,308,428,549,724
ACC_CABLE_003,2026-09-09,119,303,428,554,738
ACC_CABLE_003,2026-09-10,106,298,428,559,750
ACC_CABLE_003,2026-09-11,94,293,428,564,762
ACC_CABLE_004,2026-08-29,223,249,266,283,309
ACC_CABLE_004,2026-08-30,206,241,266,290,326
ACC_CABLE_004,2026-08-31,131,175,205,235,278
ACC_CABLE_004,2026-09-01,119,170,205,239,290
ACC_CABLE_004,2026-09-02,109,166,205,243,300
ACC_CABLE_004,2026-09-03,100,162,205,247,309
ACC_CABLE_004,2026-09-04,92,159,205,250,317
ACC_CABLE_004,2026-09-05,145,217,266,315,387
ACC_CABLE_004,2026-09-06,138,214,266,318,394
ACC_CABLE_004,2026-09-07,70,150,205,259,339
ACC_CABLE_004,2026-09-08,63,147,205,262,346
ACC_CABLE_004,2026-09-09,57,145,205,265,352
ACC_CABLE_004,2026-09-10,51,142,205,267,358
ACC_CABLE_004,2026-09-11,45,140,205,269,364
ACC_CABLE_005,2026-08-29,432,481,514,548,597
ACC_CABLE_005,2026-08-30,398,467,514,562,631
ACC_CABLE_005,2026-08-31,253,338,396,454,539
ACC_CABLE_005,2026-09-01,231,329,396,463,561
ACC_CABLE_005,2026-09-02,211,321,396,471,580
ACC_CABLE_005,2026-09-03,194,314,396,478,598
ACC_CABLE_005,2026-09-04,177,307,396,484,614
ACC_CABLE_005,2026-09-05,281,420,514,609,748
ACC_CABLE_005,2026-09-06,267,414,514,615,762
ACC_CABLE_005,2026-09-07,135,290,396,502,656
ACC_CABLE_005,2026-09-08,122,285,396,507,669
ACC_CABLE_005,2026-09-09,110,280,396,512,681
ACC_CABLE_005,2026-09-10,98,275,396,516,693
ACC_CABLE_005,2026-09-11,87,270,396,521,704
ACC_CABLE_006,2026-08-29,376,419,448,477,520
ACC_CABLE_006,2026-08-30,346,407,448,489,550
ACC_CABLE_006,2026-08-31,220,294,345,395,469
ACC_CABLE_006,2026-09-01,201,286,345,403,488
ACC_CABLE_006,2026-09-02,184,279,345,410,505
ACC_CABLE_006,2026-09-03,169,273,345,416,521
ACC_CABLE_006,2026-09-04,155,267,345,422,535
ACC_CABLE_006,2026-09-05,245,365,448,531,651
ACC_CABLE_006,2026-09-06,233,360,448,536,664
ACC_CABLE_006,2026-09-07,117,252,345,437,572
ACC_CABLE_006,2026-09-08,106,248,345,441,583
ACC_CABLE_006,2026-09-09,96,244,345,446,594
ACC_CABLE_006,2026-09-10,86,239,345,450,604
ACC_CABLE_006,2026-09-11,76,235,345,454,613
ACC_CABLE_007,2026-08-29,249,277,296,316,344
ACC_CABLE_007,2026-08-30,229,269,296,324,363
ACC_CABLE_007,2026-08-31,146,194,228,261,310
ACC_CABLE_007,2026-09-01,133,189,228,267,323
ACC_CABLE_007,2026-09-02,122,185,228,271,334
ACC_CABLE_007,2026-09-03,112,181,228,275,344
ACC_CABLE_007,2026-09-04,102,177,228,279,354
ACC_CABLE_007,2026-09-05,162,242,296,351,431
ACC_CABLE_007,2026-09-06,154,238,296,354,439
ACC_CABLE_007,2026-09-07,78,167,228,289,378
ACC_CABLE_007,2026-09-08,70,164,228,292,386
ACC_CABLE_007,2026-09-09,63,161,228,295,393
ACC_CABLE_007,2026-09-10,57,158,228,298,399
ACC_CABLE_007,2026-09-11,50,156,228,300,406
ACC_CABLE_008,2026-08-29,191,212,227,242,264
ACC_CABLE_008,2026-08-30,176,206,227,248,279
ACC_CABLE_008,2026-08-31,112,149,175,200,238
ACC_CABLE_008,2026-09-01,102,145,175,204,248
ACC_CABLE_008,2026-09-02,93,142,175,208,256
ACC_CABLE_008,2026-09-03,86,139,175,211,264
ACC_CABLE_008,2026-09-04,78,136,175,214,271
ACC_CABLE_008,2026-09-05,124,185,227,269,330
ACC_CABLE_008,2026-09-06,118,183,227,272,337
ACC_CABLE_008,2026-09-07,60,128,175,222,290
ACC_CABLE_008,2026-09-08,54,126,175,224,296
ACC_CABLE_008,2026-09-09,49,124,175,226,301
ACC_CABLE_008,2026-09-10,43,121,175,228,306
ACC_CABLE_008,2026-09-11,38,119,175,230,311
ACC_CABLE_009,2026-08-29,389,433,463,494,538
ACC_CABLE_009,2026-08-30,358,421,463,506,569
ACC_CABLE_009,2026-08-31,228,304,356,409,485
ACC_CABLE_009,2026-09-01,208,296,356,417,505
ACC_CABLE_009,2026-09-02,190,289,356,424,523
ACC_CABLE_009,2026-09-03,174,283,356,430,539
ACC_CABLE_009,2026-09-04,160,277,356,436,553
ACC_CABLE_009,2026-09-05,253,378,463,549,674
ACC_CABLE_009,2026-09-06,240,373,463,554,686
ACC_CABLE_009,2026-09-07,121,261,356,452,591
ACC_CABLE_009,2026-09-08,110,256,356,457,603
ACC_CABLE_009,2026-09-09,99,252,356,461,614
ACC_CABLE_009,2026-09-10,89,248,356,465,624
ACC_CABLE_009,2026-09-11,78,244,356,469,635
ACC_CABLE_010,2026-08-29,324,361,386,411,448
ACC_CABLE_010,2026-08-30,299,351,386,422,474
ACC_CABLE_010,2026-08-31,190,254,297,341,404
ACC_CABLE_010,2026-09-01,173,247,297,347,421
ACC_CABLE_010,2026-09-02,159,241,297,353,436
ACC_CABLE_010,2026-09-03,145,236,297,359,449
ACC_CABLE_010,2026-09-04,133,231,297,364,461
ACC_CABLE_010,2026-09-05,211,315,386,457,561
ACC_CABLE_010,2026-09-06,200,311,386,462,572
ACC_CABLE_010,2026-09-07,101,218,297,377,493
ACC_CABLE_010,2026-09-08,92,214,297,381,503
ACC_CABLE_010,2026-09-09,83,210,297,384,512
ACC_CABLE_010,2026-09-10,74,206,297,388,520
ACC_CABLE_010,2026-09-11,65,203,297,391,529
ACC_CABLE_011,2026-08-29,370,412,440,469,511
ACC_CABLE_011,2026-08-30,340,400,440,481,540
ACC_CABLE_011,2026-08-31,216,289,339,388,461
ACC_CABLE_011,2026-09-01,197,281,339,396,480
ACC_CABLE_011,2026-09-02,181,275,339,403,497
ACC_CABLE_011,2026-09-03,166,268,339,409,512
ACC_CABLE_011,2026-09-04,152,263,339,415,525
ACC_CABLE_011,2026-09-05,241,359,440,521,640
ACC_CABLE_011,2026-09-06,228,354,440,526,652
ACC_CABLE_011,2026-09-07,115,248,339,429,562
ACC_CABLE_011,2026-09-08,105,244,339,434,573
ACC_CABLE_011,2026-09-09,94,239,339,438,583
ACC_CABLE_011,2026-09-10,84,235,339,442,593
ACC_CABLE_011,2026-09-11,75,231,339,446,603
ACC_CABLE_012,2026-08-29,291,324,347,370,403
ACC_CABLE_012,2026-08-30,268,315,347,379,426
ACC_CABLE_012,2026-08-31,171,228,267,306,363
ACC_CABLE_012,2026-09-01,156,222,267,312,378
ACC_CABLE_012,2026-09-02,142,216,267,317,391
ACC_CABLE_012,2026-09-03,131,212,267,322,403
ACC_CABLE_012,2026-09-04,120,207,267,327,414
ACC_CABLE_012,2026-09-05,190,283,347,411,504
ACC_CABLE_012,2026-09-06,180,279,347,415,514
ACC_CABLE_012,2026-09-07,91,195,267,338,443
ACC_CABLE_012,2026-09-08,82,192,267,342,451
ACC_CABLE_012,2026-09-09,74,189,267,345,460
ACC_CABLE_012,2026-09-10,66,185,267,348,468
ACC_CABLE_012,2026-09-11,59,182,267,351,475
ACC_CABLE_013,2026-08-29,256,285,305,324,353
ACC_CABLE_013,2026-08-30,236,277,305,333,374
ACC_CABLE_013,2026-08-31,150,200,234,269,319
ACC_CABLE_013,2026-09-01,137,195,234,274,332
ACC_CABLE_013,2026-09-02,125,190,234,279,343
ACC_CABLE_013,2026-09-03,115,186,234,283,354
ACC_CABLE_013,2026-09-04,105,182,234,287,363
ACC_CABLE_013,2026-09-05,166,248,305,361,443
ACC_CABLE_013,2026-09-06,158,245,305,364,451
ACC_CABLE_013,2026-09-07,80,172,234,297,389
ACC_CABLE_013,2026-09-08,72,168,234,300,396
ACC_CABLE_013,2026-09-09,65,166,234,303,403
ACC_CABLE_013,2026-09-10,58,163,234,306,410
ACC_CABLE_013,2026-09-11,52,160,234,309,417
ACC_CABLE_014,2026-08-29,197,221,237,253,276
ACC_CABLE_014,2026-08-30,182,215,238,260,293
ACC_CABLE_014,2026-08-31,116,156,184,212,252
ACC_CABLE_014,2026-09-01,106,153,185,217,264
ACC_CABLE_014,2026-09-02,98,150,186,222,274
ACC_CABLE_014,2026-09-03,91,148,187,226,283
ACC_CABLE_014,2026-09-04,84,146,188,230,292
ACC_CABLE_014,2026-09-05,135,201,246,291,357
ACC_CABLE_014,2026-09-06,129,199,247,295,365
ACC_CABLE_014,2026-09-07,67,141,191,241,315
ACC_CABLE_014,2026-09-08,62,139,192,245,322
ACC_CABLE_014,2026-09-09,57,138,193,248,329
ACC_CABLE_014,2026-09-10,52,137,194,251,336
ACC_CABLE_014,2026-09-11,48,135,195,255,342
ACC_CABLE_015,2026-08-29,431,479,513,546,595
ACC_CABLE_015,2026-08-30,397,466,513,560,629
ACC_CABLE_015,2026-08-31,252,337,395,452,537
ACC_CABLE_015,2026-09-01,230,328,395,461,559
ACC_CABLE_015,2026-09-02,211,320,395,469,578
ACC_CABLE_015,2026-09-03,193,313,395,476,596
ACC_CABLE_015,2026-09-04,177,306,395,483,612
ACC_CABLE_015,2026-09-05,280,418,513,607,745
ACC_CABLE_015,2026-09-06,266,413,513,613,760
ACC_CABLE_015,2026-09-07,134,289,395,500,655
ACC_CABLE_015,2026-09-08,122,284,395,505,667
ACC_CABLE_015,2026-09-09,110,279,395,510,679
ACC_CABLE_015,2026-09-10,98,274,395,515,691
ACC_CABLE_015,2026-09-11,87,269,395,520,702
ACC_CABLE_016,2026-08-29,267,298,318,339,369
ACC_CABLE_016,2026-08-30,246,289,318,348,390
ACC_CABLE_016,2026-08-31,156,209,245,281,333
ACC_CABLE_016,2026-09-01,143,203,245,286,347
ACC_CABLE_016,2026-09-02,131,198,245,291,359
ACC_CABLE_016,2026-09-03,120,194,245,296,370
ACC_CABLE_016,2026-09-04,110,190,245,300,380
ACC_CABLE_016,2026-09-05,174,260,318,377,463
ACC_CABLE_016,2026-09-06,165,256,318,380,471
ACC_CABLE_016,2026-09-07,83,179,245,310,406
ACC_CABLE_016,2026-09-08,76,176,245,314,414
ACC_CABLE_016,2026-09-09,68,173,245,317,422
ACC_CABLE_016,2026-09-10,61,170,245,320,429
ACC_CABLE_016,2026-09-11,54,167,245,322,436
ACC_CABLE_017,2026-08-29,243,272,291,311,339
ACC_CABLE_017,2026-08-30,225,265,292,320,360
ACC_CABLE_017,2026-08-31,143,192,226,260,309
ACC_CABLE_017,2026-09-01,131,188,227,266,323
ACC_CABLE_017,2026-09-02,121,184,228,272,335
ACC_CABLE_017,2026-09-03,111,181,229,277,347
ACC_CABLE_017,2026-09-04,103,178,230,282,357
ACC_CABLE_017,2026-09-05,165,245,300,355,436
ACC_CABLE_017,2026-09-06,158,243,302,360,446
ACC_CABLE_017,2026-09-07,81,171,233,295,385
ACC_CABLE_017,2026-09-08,75,169,234,299,393
ACC_CABLE_017,2026-09-09,69,167,235,303,401
ACC_CABLE_017,2026-09-10,63,166,236,306,409
ACC_CABLE_017,2026-09-11,57,164,237,310,417
ACC_CABLE_018,2026-08-29,457,509,544,580,631
ACC_CABLE_018,2026-08-30,421,494,544,594,668
ACC_CABLE_018,2026-08-31,267,357,419,480,570
ACC_CABLE_018,2026-09-01,244,348,419,489,593
ACC_CABLE_018,2026-09-02,223,339,419,498,614
ACC_CABLE_018,2026-09-03,205,332,419,505,632
ACC_CABLE_018,2026-09-04,188,325,419,512,649
ACC_CABLE_018,2026-09-05,297,444,544,644,791
ACC_CABLE_018,2026-09-06,282,438,544,651,806
ACC_CABLE_018,2026-09-07,143,306,419,531,695
ACC_CABLE_018,2026-09-08,129,301,419,536,708
ACC_CABLE_018,2026-09-09,116,296,419,541,721
ACC_CABLE_018,2026-09-10,104,291,419,546,733
ACC_CABLE_018,2026-09-11,92,286,419,551,745
ACC_CABLE_019,2026-08-29,412,459,491,523,569
ACC_CABLE_019,2026-08-30,379,445,491,536,602
ACC_CABLE_019,2026-08-31,241,322,377,433,514
ACC_CABLE_019,2026-09-01,220,313,377,441,535
ACC_CABLE_019,2026-09-02,201,306,377,449,553
ACC_CABLE_019,2026-09-03,185,299,377,456,570
ACC_CABLE_019,2026-09-04,169,293,377,462,586
ACC_CABLE_019,2026-09-05,268,400,491,581,713
ACC_CABLE_019,2026-09-06,255,395,491,586,727
ACC_CABLE_019,2026-09-07,129,276,377,478,626
ACC_CABLE_019,2026-09-08,116,271,377,483,638
ACC_CABLE_019,2026-09-09,105,267,377,488,650
ACC_CABLE_019,2026-09-10,94,262,377,493,661
ACC_CABLE_019,2026-09-11,83,258,377,497,672
ACC_CABLE_020,2026-08-29,405,451,483,514,560
ACC_CABLE_020,2026-08-30,373,438,483,527,592
ACC_CABLE_020,2026-08-31,237,317,371,426,505
ACC_CABLE_020,2026-09-01,216,308,371,434,526
ACC_CABLE_020,2026-09-02,198,301,371,441,544
ACC_CABLE_020,2026-09-03,182,294,371,448,561
ACC_CABLE_020,2026-09-04,166,288,371,454,576
ACC_CABLE_020,2026-09-05,264,394,483,571,701
ACC_CABLE_020,2026-09-06,250,388,483,577,715
ACC_CABLE_020,2026-09-07,126,272,371,471,616
ACC_CABLE_020,2026-09-08,115,267,371,475,628
ACC_CABLE_020,2026-09-09,103,262,371,480,639
ACC_CABLE_020,2026-09-10,92,258,371,484,650
ACC_CABLE_020,2026-09-11,82,254,371,489,661
ACC_CABLE_021,2026-08-29,304,340,364,388,424
ACC_CABLE_021,2026-08-30,281,331,365,400,450
ACC_CABLE_021,2026-08-31,179,240,282,324,385
ACC_CABLE_021,2026-09-01,164,235,283,331,402
ACC_CABLE_021,2026-09-02,151,230,284,338,417
ACC_CABLE_021,2026-09-03,139,226,285,344,431
ACC_CABLE_021,2026-09-04,128,222,286,350,444
ACC_CABLE_021,2026-09-05,204,305,373,442,542
ACC_CABLE_021,2026-09-06,195,302,374,447,553
ACC_CABLE_021,2026-09-07,100,212,289,366,478
ACC_CABLE_021,2026-09-08,92,210,290,370,488
ACC_CABLE_021,2026-09-09,84,207,291,375,498
ACC_CABLE_021,2026-09-10,77,205,292,379,507
ACC_CABLE_021,2026-09-11,70,202,293,384,516
ACC_CABLE_022,2026-08-29,274,305,326,347,378
ACC_CABLE_022,2026-08-30,252,296,326,356,400
ACC_CABLE_022,2026-08-31,160,214,251,287,341
ACC_CABLE_022,2026-09-01,146,208,251,293,355
ACC_CABLE_022,2026-09-02,134,203,251,298,368
ACC_CABLE_022,2026-09-03,123,199,251,303,379
ACC_CABLE_022,2026-09-04,112,195,251,307,389
ACC_CABLE_022,2026-09-05,178,266,326,386,474
ACC_CABLE_022,2026-09-06,169,262,326,390,483
ACC_CABLE_022,2026-09-07,85,184,251,318,416
ACC_CABLE_022,2026-09-08,77,180,251,321,424
ACC_CABLE_022,2026-09-09,70,177,251,324,432
ACC_CABLE_022,2026-09-10,62,174,251,327,439
ACC_CABLE_022,2026-09-11,55,171,251,330,446
ACC_CABLE_023,2026-08-29,437,487,521,555,604
ACC_CABLE_023,2026-08-30,403,473,521,569,639
ACC_CABLE_023,2026-08-31,256,342,401,459,545
ACC_CABLE_023,2026-09-01,234,333,401,468,568
ACC_CABLE_023,2026-09-02,214,325,401,476,587
ACC_CABLE_023,2026-09-03,196,317,401,484,605
ACC_CABLE_023,2026-09-04,180,311,401,490,621
ACC_CABLE_023,2026-09-05,285,425,521,617,757
ACC_CABLE_023,2026-09-06,270,419,521,622,771
ACC_CABLE_023,2026-09-07,137,293,401,508,665
ACC_CABLE_023,2026-09-08,124,288,401,513,677
ACC_CABLE_023,2026-09-09,111,283,401,518,690
ACC_CABLE_023,2026-09-10,99,278,401,523,702
ACC_CABLE_023,2026-09-11,88,274,401,527,713
ACC_CABLE_024,2026-08-29,428,476,510,543,591
ACC_CABLE_024,2026-08-30,394,463,510,556,625
ACC_CABLE_024,2026-08-31,250,334,392,449,533
ACC_CABLE_024,2026-09-01,229,326,392,458,555
ACC_CABLE_024,2026-09-02,209,318,392,466,575
ACC_CABLE_024,2026-09-03,192,311,392,473,592
ACC_CABLE_024,2026-09-04,176,304,392,480,608
ACC_CABLE_024,2026-09-05,278,416,510,603,741
ACC_CABLE_024,2026-09-06,264,410,510,609,755
ACC_CABLE_024,2026-09-07,134,287,392,497,650
ACC_CABLE_024,2026-09-08,121,282,392,502,663
