SKU,Price,Cost,Salvage
TECH_PHONE_001,34655,30795,19606
TECH_PHONE_002,33056,26964,17019
TECH_PHONE_003,39276,31850,22035
TECH_PHONE_004,32282,26363,19551
TECH_PHONE_005,20454,16685,12420
TECH_PHONE_006,21617,17433,11520
TECH_PHONE_007,29239,21396,12936
TECH_PHONE_008,27748,23666,16092
TECH_PHONE_009,39178,33431,22508
TECH_PHONE_010,20923,15189,10991
TECH_PHONE_011,21166,16899,12141
TECH_PHONE_012,32950,26394,19043
TECH_PHONE_013,34937,29502,23260
TECH_PHONE_014,28494,25253,17098
TECH_PHONE_015,21975,17612,11416
TECH_PHONE_016,36343,30787,23602
TECH_PHONE_017,29378,23226,15137
TECH_PHONE_018,25016,18943,12976
TECH_PHONE_019,32648,25805,16437
TECH_PHONE_020,31151,27990,19006
TECH_PHONE_021,23906,15995,10641
TECH_PHONE_022,29427,22629,15934
TECH_PHONE_023,27407,23529,18017
TECH_PHONE_024,35044,27185,19611
TECH_PHONE_025,27270,22208,14058
TECH_PHONE_026,36784,31216,23550
TECH_PHONE_027,22722,17027,10235
TECH_PHONE_028,23649,20258,15108
TECH_PHONE_029,34227,27666,18583
TECH_PHONE_030,27283,21184,16367
ACC_CABLE_001,162,27,0
ACC_CABLE_002,159,53,0
ACC_CABLE_003,469,67,0
ACC_CABLE_004,324,54,0
ACC_CABLE_005,295,59,0
ACC_CABLE_006,162,54,0
ACC_CABLE_007,378,54,0
ACC_CABLE_008,330,66,0
ACC_CABLE_009,140,20,0
ACC_CABLE_010,225,45,0
ACC_CABLE_011,112,28,0
ACC_CABLE_012,366,61,0
ACC_CABLE_013,160,32,0
ACC_CABLE_014,153,51,0
ACC_CABLE_015,497,71,0
ACC_CABLE_016,306,51,0
ACC_CABLE_017,343,49,0
ACC_CABLE_018,294,42,0
ACC_CABLE_019,170,34,0
ACC_CABLE_020,288,48,0
ACC_CABLE_021,160,32,0
ACC_CABLE_022,420,70,0
ACC_CABLE_023,84,21,0
ACC_CABLE_024,192,64,0
ACC_CABLE_025,432,72,0
ACC_CABLE_026,282,47,0
ACC_CABLE_027,378,63,0
ACC_CABLE_028,245,49,0
ACC_CABLE_029,462,77,0
ACC_CABLE_030,132,44,0
ACC_CABLE_031,60,20,0
ACC_CABLE_032,138,46,0
ACC_CABLE_033,497,71,0
ACC_CABLE_034,300,60,0
ACC_CABLE_035,290,58,0
ACC_CABLE_036,196,28,0
ACC_CABLE_037,260,52,0
ACC_CABLE_038,366,61,0
ACC_CABLE_039,215,43,0
ACC_CABLE_040,219,73,0
FMCG_FOOD_001,118,101,29
FMCG_FOOD_002,116,101,24
FMCG_FOOD_003,60,52,8
FMCG_FOOD_004,149,130,38
FMCG_FOOD_005,156,141,21
FMCG_FOOD_006,179,146,34
FMCG_FOOD_007,122,102,30
FMCG_FOOD_008,98,81,9
FMCG_FOOD_009,120,105,25
FMCG_FOOD_010,87,73,21
FMCG_FOOD_011,162,135,15
FMCG_FOOD_012,165,146,29
FMCG_FOOD_013,142,129,28
FMCG_FOOD_014,123,108,26
FMCG_FOOD_015,79,68,8
FMCG_FOOD_016,96,82,16
FMCG_FOOD_017,61,50,12
FMCG_FOOD_018,127,99,27
FMCG_FOOD_019,169,148,19
FMCG_FOOD_020,125,109,32
FMCG_FOOD_021,73,61,16
FMCG_FOOD_022,67,58,13
FMCG_FOOD_023,165,129,35
FMCG_FOOD_024,100,82,9
FMCG_FOOD_025,152,121,28
FMCG_FOOD_026,173,148,42
FMCG_FOOD_027,81,74,9
FMCG_FOOD_028,156,131,24
FMCG_FOOD_029,125,110,26
FMCG_FOOD_030,98,82,11
